Age,Gender,Education Level,Job Title,Years of Experience,Salary,marital-status,workclass
32,Male,Bachelor's,Software Engineer,5,90000, Never-married, State-gov
28,Female,Master's,Data Analyst,3,65000, Married-civ-spouse, Self-emp-not-inc
45,Male,PhD,Senior Manager,15,150000, Divorced, Private
36,Female,Bachelor's,Sales Associate,7,60000, Married-civ-spouse, Private
52,Male,Master's,Director,20,200000, Married-civ-spouse, Private
29,Male,Bachelor's,Marketing Analyst,2,55000, Married-civ-spouse, Private
42,Female,Master's,Product Manager,12,120000, Married-spouse-absent, Private
31,Male,Bachelor's,Sales Manager,4,80000, Married-civ-spouse, Self-emp-not-inc
26,Female,Bachelor's,Marketing Coordinator,1,45000, Never-married, Private
38,Male,PhD,Senior Scientist,10,110000, Married-civ-spouse, Private
29,Male,Master's,Software Developer,3,75000, Married-civ-spouse, Private
48,Female,Bachelor's,HR Manager,18,140000, Married-civ-spouse, State-gov
35,Male,Bachelor's,Financial Analyst,6,65000, Never-married, Private
40,Female,Master's,Project Manager,14,130000, Never-married, Private
27,Male,Bachelor's,Customer Service Rep,2,40000, Married-civ-spouse, Private
44,Male,Bachelor's,Operations Manager,16,125000, Married-civ-spouse, Private
33,Female,Master's,Marketing Manager,7,90000, Never-married, Self-emp-not-inc
39,Male,PhD,Senior Engineer,12,115000,Never-married, Private
25,Female,Bachelor's,Data Entry Clerk,0,35000, Married-civ-spouse, Private
51,Male,Bachelor's,Sales Director,22,180000, Divorced, Self-emp-not-inc
34,Female,Master's,Business Analyst,5,80000, Married-civ-spouse, Private
47,Male,Master's,VP of Operations,19,190000, Separated, Private
30,Male,Bachelor's,IT Support,2,50000, Married-civ-spouse, Federal-gov
36,Female,Bachelor's,Recruiter,9,60000, Married-civ-spouse, Private
41,Male,Master's,Financial Manager,13,140000, Divorced, Private
28,Female,Bachelor's,Social Media Specialist,3,45000, Married-civ-spouse, Local-gov
37,Female,Master's,Software Manager,11,110000, Never-married, Private
24,Male,Bachelor's,Junior Developer,1,40000, Married-civ-spouse, ?
43,Female,PhD,Senior Consultant,15,140000, Divorced, Private
33,Male,Master's,Product Designer,6,90000, Married-civ-spouse, Private
50,Male,Bachelor's,CEO,25,250000, Never-married, Local-gov
31,Female,Bachelor's,Accountant,4,55000, Never-married, Private
29,Male,Master's,Data Scientist,3,75000, Divorced, Private
39,Female,Bachelor's,Marketing Specialist,10,65000, Married-civ-spouse, Federal-gov
46,Male,PhD,Senior Manager,20,170000, Married-civ-spouse, State-gov
27,Male,Bachelor's,Technical Writer,2,45000, Never-married, Private
35,Female,Bachelor's,HR Generalist,7,60000, Never-married, Private
42,Male,Master's,Project Engineer,14,115000, Married-AF-spouse, Private
26,Female,Bachelor's,Customer Success Rep,1,40000, Married-civ-spouse, Private
49,Male,Bachelor's,Sales Executive,21,160000, Married-civ-spouse, Self-emp-not-inc
34,Female,Master's,UX Designer,5,80000, Married-civ-spouse, Private
48,Male,Master's,Operations Director,18,190000, Married-civ-spouse, Self-emp-not-inc
30,Male,Bachelor's,Network Engineer,3,60000, Married-civ-spouse, Private
